id_ticker,ticker_recente,id_empresa
800,PETZ3,345
801,PFRM3,472
802,PGMN3,166
803,PIJU3,66
804,PINE3,621
805,PINE4,621
806,PIPN3,517
807,PIPN4,517
808,PIRE3,585
809,PIRE4,585
810,PITI4,68
811,PLAS3,492
812,PLAS4,492
813,PLDN4,284
814,PLPL3,368
815,PLTO5,290
816,PLTO6,290
817,PMAM3,524
818,PMAM4,524
819,PMET5,505
820,PMET6,505
821,PNOR5,285
822,PNOR6,285
823,PNVL3,718
824,PNVL4,718
825,POLA3,742
826,POLA4,742
827,POMO3,694
828,POMO4,694
829,POPR4,291
830,PORP4,24
831,PORT3,422
832,POSI3,653
833,POWE3,377
834,PPAR3,522
835,PQUN3,616
836,PQUN4,616
837,PRBC4,296
838,PRBN3,461
839,PRBN4,461
840,PREQ3,645
841,PREQ4,645
842,PRIO3,250
843,PRML3,218
844,PRNR3,346
845,PRTX3,255
846,PRVI3,644
847,PSSA3,44
848,PTBL3,669
849,PTBL4,669
850,PTIP3,418
851,PTIP4,418
852,PTNT3,696
853,PTNT4,696
854,PTPA3,712
855,PTPA4,712
856,PTQS3,442
857,PTQS4,442
858,PVFS3,142
859,PVFS4,142
860,PVLT3,545
861,PVPR3,483
862,PVPR4,483
863,PXEC4,252
864,QGNPB,292
865,QUAL3,268
866,RADL3,615
867,RAIA3,538
868,RAIL3,67
869,RAIL4,67
870,RAIZ4,436
871,RANI3,734
872,RANI4,734
873,RAPT3,699
874,RAPT4,699
875,RBCSB,123
876,RBRAB,97
877,RCPR1,91
878,RCPR2,91
879,RCPR3,91
880,RCPR6,91
881,RCPR8,91
882,RCSL3,710
883,RCSL4,710
884,RDCD3,27
885,RDNI3,629
886,RDOR3,161
887,RDTR3,273
888,REAL3,326
889,REAL4,326
890,RECF3,382
891,RECF4,382
892,RECV3,119
893,REDE3,614
894,REDE4,614
895,REEM4,386
896,RENT3,319
897,REPA3,642
898,REPA4,642
899,RGEG3,42
900,RHDS3,503
901,RHDS4,503
902,RHER3,721
903,RHER4,721
904,RHPR3,92
905,RHPR4,92
906,RIPI3,741
907,RIPI4,741
908,RJCP3,202
909,RLOG3,343
910,RNEW3,212
911,RNEW4,212
912,RNPT3,90
913,RNPT4,90
914,ROMI3,502
915,ROMI4,502
916,ROSI3,745
917,ROSI4,745
918,RPAD3,330
919,RPAD5,330
920,RPAD6,330
921,RPMG3,433
922,RPMG4,433
923,RPPR3,93
924,RPPR5,93
925,RPPR6,93
926,RPSA4,491
927,RSID3,566
928,RSIP3,739
929,RSIP4,739
930,RSUL4,685
931,RUMO3,635
932,SALM3,104
933,SALM4,104
934,SAMI3,333
935,SAMI4,333
936,SANB3,708
937,SANB4,708
938,SANO3,408
939,SANO4,408
940,SAPR3,641
941,SAPR4,641
942,SASG3,412
943,SBFG3,281
944,SBSP3,468
945,SCAR3,389
946,SCAR4,389
947,SCLO3,666
948,SCLO4,666
949,SDIA3,356
950,SDIA4,356
951,SEDU3,75
952,SEER3,153
953,SEMP3,586
954,SEQL3,32
955,SFSA4,556
956,SGEN3,423
957,SGEN4,423
958,SGPS3,188
959,SHAP3,624
960,SHAP4,624
961,SHOW3,103
962,SHUL3,683
963,SHUL4,683
964,SIBR6,309
965,SIBR7,309
966,SIFC3,532
967,SIFC4,532
968,SIMH3,178
969,SJOS3,327
970,SJOS4,327
971,SLAE3,156
972,SLAL3,398
973,SLAL4,398
974,SLCE3,700
975,SLCP3,411
976,SLED3,533
977,SLED4,533
978,SLED5,533
979,SLED6,533
980,SMFT3,181
981,SMLE3,314
982,SMLS3,157
983,SMTO3,489
984,SNSY3,299
985,SNSY5,299
986,SNSY6,299
987,SOES3,131
988,SOES4,131
989,SOJA3,253
990,SOLO3,588
991,SOLO4,588
992,SOMA3,245
993,SOND3,430
994,SOND5,430
995,SOND6,430
996,SPPE3,606
997,SPRI3,737
998,SPRI5,737
999,SPRI6,737
1000,SPRTB,60
1001,SQIA3,136
1002,SQIAM,136
1003,SRNA3,462
1004,STBP3,96
1005,STRP4,578
1006,SUBA3,107
1007,SULA3,390
1008,SULA4,390
1009,SULT3,703
1010,SULT4,703
1011,SUZA4,542
1012,SUZB3,316
1013,SUZB5,316
1014,SUZB6,316
1015,SVXEB,608
1016,SYNE3,221
1017,SZPQ4,146
1018,TAEE3,193
1019,TAEE4,193
1020,TAMM3,36
1021,TAMM4,36
1022,TAMR3,479
1023,TAMR4,479
1024,TASA3,733
1025,TASA4,733
1026,TBAC3,57
1027,TBAC6,57
1028,TBAC7,57
1029,TBAS4,633
1030,TBRS3,7
1031,TBRS4,7
1032,TCHN3,719
1033,TCHN4,719
1034,TCNO3,420
1035,TCNO4,420
1036,TCOC3,81
1037,TCOC4,81
1038,TCSA3,198
1039,TDBH3,140
1040,TDBH4,140
1041,TEBA3,304
1042,TEBA5,304
1043,TEBA6,304
1044,TECN3,236
1045,TEKA3,657
1046,TEKA4,657
1047,TELB3,12
1048,TELB4,12
1049,TEMP3,169
1050,TEND3,634
1051,TENE5,209
1052,TENE7,209
1053,TERI3,262
1054,TESA3,158
1055,TETE3,33
1056,TFCO4,520
1057,TGMA3,62
1058,TIET3,137
1059,TIET4,137
1060,TIMP3,77
1061,TIMP4,77
1062,TIMS3,69
1063,TKNO3,437
1064,TKNO4,437
1065,TLCP3,83
1066,TLCP4,83
1067,TLVTB,72
1068,TMACB,61
1069,TMAR3,400
1070,TMAR5,400
1071,TMAR6,400
1072,TMCP3,78
1073,TMCP4,78
1074,TMGC1,54
1075,TMGC2,54
1076,TMGC3,54
1077,TMGC6,54
1078,TMGC7,54
1079,TMGR1,335
1080,TMGR3,335
1081,TMGR5,335
1082,TMGR6,335
1083,TMGR7,335
1084,TMGR8,335
1085,TNCP3,84
1086,TNCP4,84
1087,TNEP3,85
1088,TNEP4,85
1089,TNLP3,82
1090,TNLP4,82
1091,TOTS3,495
1092,TOYB3,364
1093,TOYB4,364
1094,TOYB5,364
1095,TOYB6,364
1096,TPECB,59
1097,TPIS3,115
1098,TPRC3,58
1099,TPRC6,58
1100,TRAD3,374
1101,TRBR3,552
1102,TRBR4,552
1103,TRFO3,707
1104,TRFO4,707
1105,TRIS3,223
1106,TRJC3,56
1107,TRJC6,56
1108,TROR3,604
1109,TROR4,604
1110,TRPN3,155
1111,TSEP3,80
1112,TSEP4,80
1113,TSPC3,53
1114,TSPC6,53
1115,TTEN3,740
1116,TUPY3,678
1117,TUPY4,678
1118,TVIT3,173
1119,TXRX3,667
1120,TXRX4,667
1121,UBBR3,441
1122,UBBR4,441
1123,UBHD3,5
1124,UCAS3,709
1125,UCOP4,469
1126,UGPA3,426
1127,UGPA4,426
1128,UNIP3,446
1129,UNIP5,446
1130,UNIP6,446
1131,UOLL4,23
1132,USIM3,557
1133,USIM5,557
1134,USIM6,557
1135,VAGV3,731
1136,VAGV4,731
1137,VALE3,439
1138,VALE5,439
1139,VAMO3,365
1140,VBBR3,449
1141,VBBR4,449
1142,VDNPB,125
1143,VEMG3,534
1144,VEMG4,534
1145,VGOR4,582
1146,VIGR3,283
1147,VINE3,177
1148,VINE5,177
1149,VINE6,177
1150,VITT3,471
1151,VIVA3,443
1152,VIVO3,76
1153,VIVO4,76
1154,VIVR3,631
1155,VIVT3,86
1156,VIVT4,86
1157,VLID3,421
1158,VPSC3,127
1159,VPSC4,127
1160,VPTA3,126
1161,VPTA4,126
1162,VSMA3,551
1163,VSPT3,18
1164,VSTE3,482
1165,VTRU3,355
1166,VULC3,486
1167,VULC4,486
1168,VVEO3,275
1169,WEGE3,675
1170,WEGE4,675
1171,WEST3,297
1172,WHMT3,402
1173,WHRL3,516
1174,WHRL4,516
1175,WISA3,651
1176,WISA4,651
1177,WIZC3,459
1178,WLMM3,425
1179,WLMM4,425
1180,WMBY3,372
1181,WMBY4,372
1182,YBRA4,46
1183,YDUQ3,222
1184,ZAMP3,289
1185,ZIVI3,727
1186,ZIVI4,727
