id_data,data_pregao
885,2003-07-29
886,2003-07-30
887,2003-07-31
888,2003-08-01
889,2003-08-04
890,2003-08-05
891,2003-08-06
892,2003-08-07
893,2003-08-08
894,2003-08-11
895,2003-08-12
896,2003-08-13
897,2003-08-14
898,2003-08-15
899,2003-08-18
900,2003-08-19
901,2003-08-20
902,2003-08-21
903,2003-08-22
904,2003-08-25
905,2003-08-26
906,2003-08-27
907,2003-08-28
908,2003-08-29
909,2003-09-01
910,2003-09-02
911,2003-09-03
912,2003-09-04
913,2003-09-05
914,2003-09-08
915,2003-09-09
916,2003-09-10
917,2003-09-11
918,2003-09-12
919,2003-09-15
920,2003-09-16
921,2003-09-17
922,2003-09-18
923,2003-09-19
924,2003-09-22
925,2003-09-23
926,2003-09-24
927,2003-09-25
928,2003-09-26
929,2003-09-29
930,2003-09-30
931,2003-10-01
932,2003-10-02
933,2003-10-03
934,2003-10-06
935,2003-10-07
936,2003-10-08
937,2003-10-09
938,2003-10-10
939,2003-10-13
940,2003-10-14
941,2003-10-15
942,2003-10-16
943,2003-10-17
944,2003-10-20
945,2003-10-21
946,2003-10-22
947,2003-10-23
948,2003-10-24
949,2003-10-27
950,2003-10-28
951,2003-10-29
952,2003-10-30
953,2003-10-31
954,2003-11-03
955,2003-11-04
956,2003-11-05
957,2003-11-06
958,2003-11-07
959,2003-11-10
960,2003-11-11
961,2003-11-12
962,2003-11-13
963,2003-11-14
964,2003-11-17
965,2003-11-18
966,2003-11-19
967,2003-11-20
968,2003-11-21
969,2003-11-24
970,2003-11-25
971,2003-11-26
972,2003-11-27
973,2003-11-28
974,2003-12-01
975,2003-12-02
976,2003-12-03
977,2003-12-04
978,2003-12-05
979,2003-12-08
980,2003-12-09
981,2003-12-10
982,2003-12-11
983,2003-12-12
984,2003-12-15
985,2003-12-16
986,2003-12-17
987,2003-12-18
988,2003-12-19
989,2003-12-22
990,2003-12-23
991,2003-12-26
992,2003-12-29
993,2003-12-30
994,2004-01-02
995,2004-01-05
996,2004-01-06
997,2004-01-07
998,2004-01-08
999,2004-01-09
1000,2004-01-12
1001,2004-01-13
1002,2004-01-14
1003,2004-01-15
1004,2004-01-16
1005,2004-01-19
1006,2004-01-20
1007,2004-01-21
1008,2004-01-22
1009,2004-01-23
1010,2004-01-26
1011,2004-01-27
1012,2004-01-28
1013,2004-01-29
1014,2004-01-30
1015,2004-02-02
1016,2004-02-03
1017,2004-02-04
1018,2004-02-05
1019,2004-02-06
1020,2004-02-09
1021,2004-02-10
1022,2004-02-11
1023,2004-02-12
1024,2004-02-13
1025,2004-02-16
1026,2004-02-17
1027,2004-02-18
1028,2004-02-19
1029,2004-02-20
1030,2004-02-25
1031,2004-02-26
1032,2004-02-27
1033,2004-03-01
1034,2004-03-02
1035,2004-03-03
1036,2004-03-04
1037,2004-03-05
1038,2004-03-08
1039,2004-03-09
1040,2004-03-10
1041,2004-03-11
1042,2004-03-12
1043,2004-03-15
1044,2004-03-16
1045,2004-03-17
1046,2004-03-18
1047,2004-03-19
1048,2004-03-22
1049,2004-03-23
1050,2004-03-24
1051,2004-03-25
1052,2004-03-26
1053,2004-03-29
1054,2004-03-30
1055,2004-03-31
1056,2004-04-01
1057,2004-04-02
1058,2004-04-05
1059,2004-04-06
1060,2004-04-07
1061,2004-04-08
1062,2004-04-12
1063,2004-04-13
1064,2004-04-14
1065,2004-04-15
1066,2004-04-16
1067,2004-04-19
1068,2004-04-20
1069,2004-04-22
1070,2004-04-23
1071,2004-04-26
1072,2004-04-27
1073,2004-04-28
1074,2004-04-29
1075,2004-04-30
1076,2004-05-03
1077,2004-05-04
1078,2004-05-05
1079,2004-05-06
1080,2004-05-07
1081,2004-05-10
1082,2004-05-11
1083,2004-05-12
1084,2004-05-13
1085,2004-05-14
1086,2004-05-17
1087,2004-05-18
1088,2004-05-19
1089,2004-05-20
1090,2004-05-21
1091,2004-05-24
1092,2004-05-25
1093,2004-05-26
1094,2004-05-27
1095,2004-05-28
1096,2004-05-31
1097,2004-06-01
1098,2004-06-02
1099,2004-06-03
1100,2004-06-04
1101,2004-06-07
