id,codigo,nome_social,nome_resumido,cnpj,situacao_ativa,codigo_isin
36019,ALPA,ALPARGATAS SA,ALPARGATA153,61.079.117/0001-05,True,BRALPAACNOR0
36019,ALPA,ALPARGATAS SA,ALPARGATA153,61.079.117/0001-05,True,BRALPAACNPR7
36024,ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS SA,ALLPARKEM158,60.537.263/0001-66,True,BRALPKACNOR9
36046,ALSC,ALIANSCE SHOPPING CENTERS SA,ALIANSCE15U,06.082.980/0001-03,True,BRALSCACNOR0
64117,ALOS,ALLOS S A,ALLOS SA,05.878.397/0001-32,True,BRALSOACNOR5
36073,ALUP,ALUPAR INVESTIMENTO S A,ALUPAR16L,08.364.948/0001-38,True,BRALUPACNOR8
36073,ALUP,ALUPAR INVESTIMENTO S A,ALUPAR16L,08.364.948/0001-38,True,BRALUPACNPR5
36105,AMAR,MARISA LOJAS SA,MARISALOJ17H,61.189.288/0001-89,True,BRAMARACNOR4
81882,AMBP,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S A,AMBIPARPART,12.648.266/0001-24,True,BRAMBPACNOR6
36126,AMBV,CIA BEBIDAS AMERICAS AMBEV,AMBEV182,02.808.708/0001-07,True,BRAMBVACNOR4
36126,AMBV,CIA BEBIDAS AMERICAS AMBEV,AMBEV182,02.808.708/0001-07,True,BRAMBVACNPR1
36133,AMCE,AMERICEL SA,AMERICEL189,01.685.903/0001-16,True,BRAMCEACNOR8
40197,AMER,AMERICANAS S A,AMERICANAS,00.776.574/0001-56,True,BRAMERACNOR6
36176,AMIL,AMIL PARTICIPACOES SA,AMILPARTI19G,36.461.242/0001-20,True,BRAMILACNOR0
36186,AMLC,AMELCO SA IND ELETRONICA,AMELCO19Q,57.009.078/0001-94,True,BRAMLCACNPR0
146170,AMOB,AUTOMOB PARTICIPACOES S A,AUTOMOB,35.654.688/0001-08,True,BRAMOBACNOR9
36206,AMPI,AMPLA INVESTS SERVICOS SA,AMPLAINVE1AA,07.809.905/0001-56,True,BRAMPIACNOR1
36224,AMRI,GEODEX COMMUNICATIONS BRASIL SA EX CONVEXX COMMUNICATIONS BRASIL SA,GEODEX1AS,02.808.710/0001-78,True,BRAMRIACNPD4
36314,ANDG,ANDRADE GUTIERREZ CONCESSOES SA,AGCONCESS1DA,03.601.314/0001-38,True,BRANDGACNOR9
36314,ANDG,ANDRADE GUTIERREZ CONCESSOES SA,AGCONCESS1DA,03.601.314/0001-38,True,BRANDGACNPR6
36353,ANIM,ANIMA HOLDING SA,ANIMA1ED,09.288.252/0001-32,True,BRANIMACNOR6
39752,APER,ALPER CONSULTORIA E CORRETORA DE SEGUROS S A,ALPERSEGUROS,11.721.921/0001-60,True,BRAPERACNOR9
36586,APTI,SIDERURGICA J L ALIPERTI SA,ALIPERTI1KU,61.156.931/0001-78,True,BRAPTIACNPR3
36708,ARCE,ARCELOR BRASIL SA,ARCELORBR1O8,24.315.012/0001-73,True,BRARCEACNOR7
36720,ARCZ,ARACRUZ CELULOSE SA,ARACRUZ1OK,42.157.511/0001-61,True,BRARCZACNOR2
36720,ARCZ,ARACRUZ CELULOSE SA,ARACRUZ1OK,42.157.511/0001-61,True,BRARCZACNPA5
